Display Name	Service Name (Registry)	DEFAULT Windows 10 Home	DEFAULT Windows 10 Pro	Safe for DESKTOP	Safe for LAPTOP or TABLET	Tweaked for DESKTOP	Quick Notes
File History Service	fhsvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Used by Windows Backup.
Function Discovery Provider Host	fdPHost	Manual	Manual	Manual	Manual	Manual	
Function Discovery Resource Publication	FDResPub	Manual (Running)	Manual (Running)	Manual	Manual	Manual	
GameDVR and Broadcast User Service_28eed	BcastDVRUserService_?????	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	New. Cannot be disabled via services.msc
Geolocation Service	lfsvc	Manual (Trigger Start, Running)	Manual (Trigger Start, Running)	Disabled *	Disabled *	Disabled *	
GraphicsPerfSvc	GraphicsPerfSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Group Policy Client	gpsvc	Automatic (Trigger Start)	Automatic (Trigger Start)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Host Network Service **	hns	Not Available	Not Installed	Not Installed	Not Installed	Not Installed	If installed: (Manual)
Human Interface Device Service	hidserv	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Manufacture function keys generally on laptops for volume, screen brightness, etc.
HV Host Service	HvHost	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Data Exchange Service	vmickvpexchange	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Guest Service Interface	vmicguestinterface	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Guest Shutdown Service	vmicshutdown	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Heartbeat Service	vmicheartbeat	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Host Compute Service **	vmcompute	Not Available	Not Installed	Not Installed	Not Installed	Not Installed	If installed: (Manual, Trigger Start, Running)
Hyper-V PowerShell Direct Service	vmicvmsession	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Remote Desktop Virtualization Service	vmicrdv	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Time Synchronization Service	vmictimesync	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
Hyper-V Virtual Machine Management **	vmms	Not Available	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	
Hyper-V Volume Shadow Copy Requestor	vmicvss	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
IIS Admin Service **	IISADMIN	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	Do not install.
IKE and AuthIP IPsec Keying Modules	IKEEXT	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Infrared monitor service	irmon	Manual	Manual	Disabled *	Disabled *	Disabled *	File transfer via infrared devices.
Interactive Services Detection	UI0Detect	Manual	Manual	Manual	Manual	Manual	
Internet Connection Sharing (ICS)	SharedAccess	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	Old service no longer needed.
IP Helper	iphlpsvc	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Disabled *	IPv6 translation.
IP Translation Configuration Service	IpxlatCfgSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Disabled *	IPv6 translation.
IPsec Policy Agent	PolicyAgent	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
KtmRm for Distributed Transaction Coordinator	KtmRm	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Link-Layer Topology Discovery Mapper	lltdsvc	Manual	Manual	Manual	Manual	Manual	
Local Profile Assistant Service	wlpasvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Local Session Manager	LSM	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
LPD Service **	LPDSVC	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	
LxssManager **	LxssManager	Not Installed (Manual)	Not Installed (Manual)	Not Installed	Not Installed	Not Installed	
Message Queuing **	MSMQ	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	
Message Queuing Triggers **	MSMQTriggers	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	
MessagingService_?????	MessagingService_?????	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Microsoft (R) Diagnostics Hub Standard Collector Service	diagnosticshub.standardcollector.service	Manual	Manual	Manual	Manual	Manual	
Microsoft Account Sign-in Assistant	wlidsvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Running if using MS account to log in to computer.
Microsoft App-V Client	AppVClient	Not Available	Disabled	Disabled	Disabled	Disabled	
Microsoft FTP Service **	ftpsvc	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	
